#	선수명	팀명	승	패	세	홀드	블론	경기	선발	이닝	삼진/9	볼넷/9	홈런/9	BABIP	LOB%	ERA	RA9-WAR	FIP	kFIP	WAR
60	김민	KT	6	12	0	0	0	27	26	150.2	5.44	3.88	0.96	0.323	70.4	4.96	1.88	4.95	5.08	0.82
61	김성민	Hero	2	0	0	5	0	50	0	56.1	6.07	1.76	0.00	0.298	74.2	2.56	1.69	2.74	2.74	0.80
62	전유수	KT	3	1	1	7	0	62	1	66.1	6.24	2.44	0.27	0.306	66.9	3.39	1.59	3.22	3.22	0.79
63	임현준	삼성	1	0	0	8	1	71	0	42.1	7.44	2.55	0.43	0.256	64.9	3.40	0.86	3.42	3.34	0.78
64	김상수	Hero	3	5	0	40	1	67	0	56.2	9.53	4.45	0.48	0.324	80.5	3.02	2.23	3.51	3.28	0.77
65	고효준	롯데	2	7	0	15	5	75	0	62.1	10.40	5.20	0.87	0.331	71.1	4.76	0.33	3.93	3.63	0.75
66	김동준	Hero	8	3	0	3	0	33	5	70.0	6.43	2.96	0.64	0.326	68.8	4.50	0.95	3.89	3.88	0.74
67	이민우	KIA	2	6	1	2	0	32	6	61.1	8.22	3.82	0.59	0.370	63.0	5.43	0.07	3.84	3.73	0.72
68	원태인	삼성	4	8	0	2	1	26	20	112.0	5.46	3.13	0.96	0.290	67.0	4.82	1.46	4.76	4.87	0.68
69	윤명준	두산	6	2	1	14	2	69	0	68.1	5.27	2.63	0.40	0.284	77.0	2.63	2.33	3.72	3.82	0.68
70	진해수	LG	3	1	0	20	2	72	0	42.0	8.14	3.43	0.43	0.333	76.0	3.43	1.21	3.50	3.37	0.67
71	김재윤	KT	2	2	7	9	2	43	0	47.2	7.93	2.27	0.76	0.200	78.5	2.27	1.86	3.42	3.24	0.66
72	배재환	NC	3	5	0	20	2	62	0	54.1	10.10	5.14	0.50	0.326	73.7	3.81	1.64	3.86	3.65	0.65
73	이영준	Hero	1	1	0	1	1	29	0	33.1	5.13	1.35	0.00	0.348	75.0	2.97	0.87	2.71	2.76	0.63
74	정우람	한화	4	3	26	0	4	57	0	58.1	7.41	2.47	0.62	0.317	92.1	1.54	3.19	3.31	3.18	0.63
75	강윤구	NC	3	3	0	15	1	67	0	56.1	7.83	3.83	0.64	0.325	69.8	4.47	1.49	3.97	3.89	0.62
76	주권	KT	6	2	2	25	1	71	0	75.1	5.62	1.67	0.84	0.256	78.3	2.99	2.46	4.00	4.03	0.59
77	윤영삼	Hero	3	3	1	3	1	54	0	62.2	8.04	2.01	0.72	0.314	76.5	2.87	1.27	3.32	3.13	0.58
78	윤성환	삼성	8	13	0	0	0	27	27	145.1	4.03	3.10	0.87	0.309	67.2	4.77	1.64	4.93	5.18	0.56
79	최원준	두산	1	2	1	4	0	34	3	54.1	6.29	2.65	0.17	0.307	77.9	2.65	1.38	3.29	3.31	0.56
80	이준영	KIA	1	0	0	1	0	37	1	51.0	7.59	4.59	0.53	0.359	56.9	6.35	0.30	4.01	3.96	0.49
81	정우영	LG	4	6	1	16	3	56	0	65.1	5.23	2.76	0.28	0.270	66.9	3.72	1.20	3.69	3.82	0.48
82	안영명	한화	4	7	0	13	3	67	0	62.0	6.97	1.89	0.73	0.385	78.0	3.92	1.25	3.67	3.60	0.47
83	양현	Hero	1	0	0	1	0	29	3	40.2	5.53	2.43	0.22	0.250	79.3	1.99	1.30	3.38	3.44	0.47
84	손승락	롯데	4	3	9	2	4	53	0	52.2	7.52	3.25	0.51	0.313	68.2	3.93	0.31	3.55	3.46	0.45
85	정영일	SK	1	2	1	8	1	44	0	42.0	7.50	4.71	0.21	0.274	74.6	3.21	0.59	3.54	3.50	0.44
86	서준원	롯데	4	11	0	0	0	33	16	97.0	5.57	3.53	0.93	0.335	69.1	5.47	1.32	5.02	5.17	0.44
87	김영규	NC	5	4	0	1	0	30	10	66.1	6.24	4.21	0.95	0.346	72.3	5.29	1.05	5.06	5.16	0.42
88	김대현	LG	5	4	0	9	1	41	2	66.2	5.40	3.64	0.27	0.293	69.1	3.78	1.98	3.94	4.08	0.40
89	신재영	Hero	1	0	0	0	0	12	6	29.1	6.14	2.76	0.31	0.340	72.4	3.68	0.60	3.81	3.89	0.40
90	배재준	LG	3	4	0	0	0	19	12	62.0	6.39	4.79	0.44	0.299	61.3	5.23	0.46	4.59	4.73	0.38
91	임기영	KIA	2	4	0	0	0	12	8	48.2	6.84	3.51	1.29	0.375	70.3	5.73	0.26	5.04	5.04	0.38
92	하준영	KIA	6	2	0	15	4	59	0	52.2	8.72	5.30	0.85	0.353	71.1	4.96	0.59	4.35	4.21	0.38
93	강지광	SK	2	4	0	6	0	25	0	27.1	4.94	3.62	0.00	0.286	60.0	3.95	0.26	3.40	3.54	0.35
94	진명호	롯데	3	2	0	9	2	60	0	63.1	7.25	4.97	0.57	0.294	78.7	3.41	1.64	4.13	4.11	0.35
95	박진형	롯데	2	1	5	5	4	41	0	40.1	8.93	2.45	1.34	0.312	75.1	4.02	0.50	3.95	3.66	0.35
96	김민우	한화	2	7	0	0	0	16	12	68.0	6.09	3.97	0.79	0.330	53.0	6.75	-0.56	4.78	4.89	0.34
97	김민수	KT	8	5	2	1	0	28	11	81.2	6.17	3.31	1.10	0.304	69.5	4.96	0.96	4.72	4.75	0.32
98	문광은	LG	1	1	1	3	0	32	0	33.0	7.09	3.55	0.82	0.333	75.9	4.09	0.92	4.28	4.25	0.32
99	이현호	두산	1	0	0	0	0	16	8	40.1	4.91	4.24	0.45	0.336	67.4	5.13	0.32	4.44	4.64	0.32
100	구승민	롯데	1	4	2	6	2	41	0	36.0	10.75	5.25	1.25	0.377	64.5	6.25	-0.05	4.32	3.98	0.32
101	차명진	KIA	3	1	0	0	0	9	6	33.0	5.18	4.91	0.27	0.312	70.9	4.36	0.50	4.46	4.68	0.30
102	정찬헌	LG	1	1	6	0	1	13	0	11.0	9.00	4.91	0.00	0.355	70.6	1.64	0.12	3.04	2.87	0.30
103	김선기	Hero	3	1	0	0	0	7	6	28.0	5.46	2.89	0.64	0.278	72.6	4.18	0.78	4.51	4.66	0.30
104	백청훈	SK	0	0	1	1	0	5	0	4.0	9.00	2.25	0.00	0.467	62.5	6.75	0.01	2.15	1.87	0.27
105	장필준	삼성	3	3	11	15	3	61	0	69.2	6.85	4.26	0.90	0.279	78.7	3.62	2.17	4.61	4.62	0.26
106	손동현	KT	2	3	0	5	0	34	3	47.1	5.51	5.89	0.38	0.320	66.9	4.75	0.31	4.50	4.67	0.25
107	정성곤	KT	3	3	8	11	4	52	0	53.2	6.71	3.69	1.17	0.326	66.5	5.53	0.56	4.78	4.77	0.24
108	유원상	NC	0	3	1	0	0	15	1	20.2	6.10	3.92	0.87	0.284	56.7	5.23	-0.11	4.76	4.84	0.21
109	이현승	두산	0	1	0	2	0	9	0	6.0	6.00	0.00	0.00	0.235	50.0	3.00	0.20	2.07	1.98	0.20
110	임기준	KIA	2	2	0	6	0	52	0	36.2	5.89	3.93	0.25	0.272	69.2	3.44	0.75	4.08	4.22	0.19
111	이보근	Hero	0	2	0	3	1	19	0	16.2	6.48	2.16	0.54	0.452	47.5	9.72	-0.96	3.46	3.41	0.19
112	우규민	삼성	2	7	15	7	4	54	0	59.0	6.10	1.68	1.07	0.279	84.1	2.75	1.61	4.35	4.36	0.19
113	임찬규	LG	3	5	0	2	1	30	13	88.2	7.31	4.67	1.02	0.288	69.9	4.97	0.84	5.04	5.05	0.18
114	이대은	KT	4	2	17	0	1	44	8	86.0	6.17	4.08	1.05	0.288	71.7	4.08	1.74	5.07	5.17	0.18
115	류제국	LG	0	2	0	0	0	11	11	53.1	5.23	4.39	0.84	0.299	75.0	4.22	1.09	5.09	5.28	0.18
116	여건욱	LG	0	0	0	0	0	25	0	29.2	7.28	2.43	0.61	0.347	72.8	3.94	0.25	3.57	3.48	0.17
117	김현수	롯데	0	1	0	0	0	6	0	6.1	5.68	1.42	0.00	0.158	50.0	1.42	0.17	2.61	2.61	0.16
118	김택형	SK	2	1	0	2	0	26	0	23.1	10.41	8.87	0.39	0.311	66.5	5.79	-0.01	4.86	4.76	0.16
119	최영환	롯데	0	0	0	0	0	15	0	19.2	9.15	4.12	0.46	0.357	54.1	6.41	-0.28	3.55	3.36	0.15
120	임준섭	한화	1	3	0	1	0	34	6	49.1	4.74	5.11	0.18	0.320	65.8	4.20	0.14	4.37	4.62	0.15
121	김진성	NC	1	2	0	5	1	42	0	42.0	7.29	3.21	1.29	0.280	65.1	4.29	0.27	4.78	4.72	0.14
122	임정호	NC	0	1	0	0	0	6	0	4.2	11.57	3.86	0.00	0.273	60.0	3.86	-0.01	2.11	1.66	0.13
123	홍성민	롯데	0	0	0	1	0	12	0	12.2	4.97	0.00	0.00	0.347	66.7	4.26	0.07	2.53	2.58	0.12
124	김경태	한화	0	0	0	0	0	17	0	11.0	8.18	6.55	0.00	0.400	77.3	4.09	-0.04	3.76	3.73	0.12
125	박민호	SK	3	1	0	4	0	47	0	50.1	3.93	2.50	0.36	0.283	77.9	2.68	1.11	4.12	4.36	0.11
126	이동현	LG	0	0	0	0	0	5	0	5.0	9.00	0.00	0.00	0.400	100.0	0.00	0.20	1.40	1.03	0.11
127	김건국	롯데	3	3	0	3	0	37	5	66.2	5.80	3.64	0.68	0.329	72.7	4.46	0.73	4.57	4.69	0.11
128	김대유	KT	0	0	0	0	0	21	0	27.0	7.67	4.00	0.33	0.282	84.3	2.33	0.73	3.84	3.83	0.10
129	김주한	SK	1	1	0	1	0	11	1	12.0	7.50	5.25	0.00	0.343	66.7	5.25	-0.03	3.73	3.77	0.09
130	백승건	SK	0	0	0	0	0	15	0	19.1	6.52	5.59	0.47	0.288	87.0	2.33	0.38	4.64	4.76	0.08
131	심수창	LG	1	1	0	0	0	5	1	11.2	9.26	5.40	0.77	0.432	70.8	6.17	-0.04	4.26	4.08	0.08
132	홍건희	KIA	2	9	0	0	0	21	14	81.2	5.73	3.64	1.32	0.361	59.5	7.16	-0.85	5.36	5.46	0.07
